Message,timestamp,data
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.7738}",2023-05-03 19:33:53.774831+00:00,500.4742563561665 499.86174221481247
"{'mot': [25, 0, 0.997923, 0.0, 0.0625, 0.015625, 0.968765, 0.156252, -0.187503, -76.563667, -12.719381, 38.281834], 'time': 1683167633.7894}",2023-05-03 19:33:53.814676+00:00,500.4742563561665 499.86174221481247
"{'mot': [26, 0, 0.994001, -0.03125, 0.09375, 0.046875, 1.000015, 0.156252, -0.218753, -76.563667, -15.275626, 38.281834], 'time': 1683167633.8051}",2023-05-03 19:33:53.814858+00:00,500.4742563561665 499.86174221481247
"{'pow': [4.698, 13.916, 2.396, 0.876, 0.468, 1.411, 0.708, 0.834, 0.462, 0.158, 13.984, 23.639, 1.268, 1.173, 0.398, 5.579, 9.464, 1.293, 0.902, 0.29, 6.899, 18.934, 1.46, 1.015, 0.334], 'time': 1683167633.8051}",2023-05-03 19:33:53.815035+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.8051}",2023-05-03 19:33:53.815144+00:00,500.4742563561665 499.86174221481247
"{'mot': [27, 0, 0.98611, -0.0625, 0.140625, 0.0625, 1.000015, 0.156252, -0.218753, -76.563667, -17.576248, 38.281834], 'time': 1683167633.8207}",2023-05-03 19:33:53.854357+00:00,500.4742563561665 499.86174221481247
"{'mot': [28, 0, 0.975155, -0.0625, 0.203125, 0.0625, 1.000015, 0.156252, -0.218753, -76.563667, -15.818623, 38.281834], 'time': 1683167633.8363}",2023-05-03 19:33:53.854515+00:00,500.4742563561665 499.86174221481247
"{'mot': [29, 0, 0.943988, -0.015625, 0.328125, -0.03125, 0.968765, 0.156252, -0.187503, -76.563667, -18.064943, 38.281834], 'time': 1683167633.8519}",2023-05-03 19:33:53.854645+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.8363}",2023-05-03 19:33:53.854738+00:00,500.4742563561665 499.86174221481247
"{'mot': [30, 0, 0.808131, 0.21875, 0.4375, -0.328125, 0.968765, 0.156252, -0.187503, -76.563667, -20.086634, 38.281834], 'time': 1683167633.8676}",2023-05-03 19:33:53.894521+00:00,500.4742563561665 499.86174221481247
"{'mot': [31, 0, 0.731377, 0.21875, 0.546875, -0.34375, 1.000015, 0.156252, -0.187503, -76.563667, -18.077969, 38.281834], 'time': 1683167633.8832}",2023-05-03 19:33:53.894659+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.8676}",2023-05-03 19:33:53.894750+00:00,500.4742563561665 499.86174221481247
"{'mot': [32, 0, 0.655878, 0.265625, 0.578125, -0.40625, 0.968765, 0.156252, -0.218753, -76.563667, -20.098356, 38.281834], 'time': 1683167633.8988}",2023-05-03 19:33:53.935066+00:00,500.4742563561665 499.86174221481247
